,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,11/16/22,WM113,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
RNS221108-N-1,1,97.19,12.66,5.47,359.60,14.46,1.79,,,,,
RPO221108-N-1,2,275.61,11.95,9.96,1678.03,118.16,2.95,,,,,
*RKS*,A,80.52,8.63,3.99,96.76,6.57,3.16,,**NOTE: Bottles were labeled identically(see picture attached to email),,,
*RKT*,B,82.36,6.69,2.87,174.66,5.67,0.37,,,,,
RCB221108-N-1,5,95.16,9.38,4.56,476.25,21.40,1.47,,,,,
RWA221108-N-1,6,80.36,8.17,5.72,569.23,16.66,0.66,,,,,
PFF221109-N-1,7,75.25,7.21,4.09,167.40,4.46,1.86,,,,,
PLH221109-N-1,8,74.09,8.55,7.52,539.42,6.55,0.62,,,,,
PLT221109-N-1,9,90.59,8.66,7.83,656.36,23.35,3.75,,,,,
OCO221109-N-1,10,88.47,6.32,5.19,275.41,2.02,1.64,,,,,
OPP221109-N-1,11,71.62,8.82,4.65,425.33,1.59,<0.28,,,,,
RHL221110-N-1,12,74.35,8.47,4.28,163.26,1.48,1.77,,,,,
RON221110-N-1,13,75.16,6.42,2.38,77.24,2.38,<0.28,,,,,
RFS221110-N-1,14,92.99,10.41,7.50,458.66,12.81,2.41,,,,,
RKO221110-N-1,15,86.84,10.64,8.84,411.51,19.20,1.06,,,,,
RKV221110-N-1,16,79.39,8.25,6.02,347.75,17.59,<0.28,,,,,
