,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,9/21/23,FR3,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
LMT230914-N-1,FR-1,91.12,6.21,2.93,371.38,10.66,1.45,,,,
LMR230914-N-1,FR-2,82.20,9.09,5.00,330.46,3.65,1.69,,,,
LPS230914-N-1,FR-3,77.19,8.58,5.70,344.50,4.61,2.35,,,,
LLH230914-N-1,FR-4,87.18,7.38,4.40,195.94,1.53,2.33,,,,
PFF230914-N-1,FR-5,91.43,5.99,2.78,176.07,7.82,0.91,,,,
PLH230914-N-1,FR-6,82.85,6.24,5.57,409.58,4.98,3.13,,,,
PLT230914-N-1,FR-7,99.70,8.15,5.09,478.03,18.39,5.50,,,,
