,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,11/9/21,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS211102-N-1,1,107.24,9.83,4.33,204.88,8.86,8.98,,,
RPO211102-N-1,2,306.78,27.56,14.77,1733.76,212.52,3.29,,,
RKS211102-N-1,3,88.66,18.84,4.64,79.91,3.43,3.29,,,
RKT211102-N-1,4,94.87,8.65,4.66,121.11,2.76,2.78,,,
RCB211102-N-1,5,130.18,12.28,6.30,504.50,37.71,5.10,,,
RWA211102-N-1,6,95.91,13.82,9.26,684.54,15.77,2.90,,,
PFF211103-N-1,7,138.52,9.20,6.29,420.38,2.45,2.76,,,
PLH211103-N-1,8,117.90,12.72,6.42,307.00,6.26,5.42,,,
PLT211103-N-1,9,91.40,12.29,6.05,230.36,4.26,2.17,,,
OCO211103-N-1,10,104.07,7.55,2.87,250.81,2.61,2.13,,,
OPP211103-N-1,11,82.90,7.77,2.27,89.23,1.41,0.75,,,
RHL211104-N-1,12,104.63,21.99,10.86,373.04,6.04,7.00,,,
RON211104-N-1,13,85.32,15.07,4.76,70.58,2.60,0.99,,,
RFS211104-N-1,14,108.13,17.16,10.28,453.06,30.50,2.95,,,
RKO211104-N-1,15,130.20,16.86,11.20,489.96,46.61,2.96,,,
RKV211104-N-1,16,82.64,15.97,7.48,300.13,8.06,1.34,,,
,,,,,,,,,,
