,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,10/19/21,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS211012-N-1,1,226.52,13.21,5.63,375.38,8.33,9.36,,,
RPO211012-N-1,2,176.86,13.30,5.25,458.50,37.50,4.91,,,
RKS211012-N-1,3,98.14,10.00,2.94,174.44,2.25,0.30,,,
RKT211012-N-1,4,100.94,13.84,4.54,171.80,3.40,1.18,,,
RCB211012-N-1,5,102.34,12.58,4.66,206.74,7.58,2.82,,,
RWA211012-N-1,6,117.58,10.62,3.33,177.04,1.27,0.44,,,
PFF211013-N-1,7,88.72,9.07,3.88,185.13,0.61,<0.28,,,
PLH211013-N-1,8,100.30,12.02,5.41,294.35,2.86,1.50,,,
PLT211013-N-1,9,125.38,13.91,7.74,476.86,17.35,4.95,,,
OCO211013-N-1,10,77.08,14.63,6.12,248.45,2.95,0.56,,,
OPP211013-N-1,11,83.91,10.56,3.79,461.39,1.76,0.32,,,
RHL211014-N-1,12,92.55,16.05,5.85,259.13,1.63,2.59,,,
RON211014-N-1,13,78.44,7.78,2.93,125.11,2.08,<0.28,,,
RFS211014-N-1,14,156.92,17.38,13.35,856.31,68.83,2.14,,,
RKO211014-N-1,15,122.99,13.19,8.80,463.30,43.95,2.25,,,
RKV211014-N-1,16,101.72,10.23,6.70,472.48,7.31,1.18,,,
,,,,,,,,,,
