,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,3/20/18,,
,,,,,,,
,,,Project:,MNMRC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS180313-N-1,1 TNC WEST,101.72,9.44,6.89,215.90,14.74,1.51
RPO180313-N-1,2 TNC WEST,324.37,21.56,20.44,1662.02,292.77,2.27
RKS180313-N-1,3 TNC WEST,100.69,9.92,8.58,1104.59,12.22,1.42,,
RAB180313-N-1,4 TNC WEST,80.46,13.20,8.69,331.58,9.23,0.73,,
RCB180313-N-1,5 TNC WEST,225.94,14.56,11.56,1269.55,177.44,2.02,,
RWA180313-N-1,6 TNC WEST,91.93,9.90,5.86,367.28,17.11,<0.28,,
PFF180314-N-1,7 TNC WEST,82.40,10.98,10.15,975.32,9.26,0.58,,
PLH180314-N-1,8 TNC WEST,101.17,9.09,7.81,509.74,26.60,0.92,,
PLT180314-N-1,9 TNC WEST,89.53,9.25,6.12,274.46,11.77,2.69,,
PPU180314-N-1,10 TNC WEST,74.79,10.11,4.40,232.21,2.63,<0.28,,
OLP180314-N-1,11 TNC WEST,168.78,12.28,8.09,84.14,5.75,3.47,,
OSF180314-N-1,12 TNC WEST,90.46,9.14,6.01,194.71,9.36,2.23,,
OPM180315-N-1,13 TNC WEST,72.61,7.35,5.83,218.74,6.07,0.61,,
OCO180315-N-1,14 TNC WEST,85.02,8.24,6.10,383.70,8.18,0.73,,
OMM180315-N-1,15 TNC WEST,71.70,8.60,5.75,500.72,10.69,1.51,,
OUB180315-N-1,16 TNC WEST,71.17,6.57,5.11,115.36,3.59,<0.28,,
OPB180315-N-1,17 TNC WEST,76.38,5.79,4.37,107.53,5.37,0.69,,
OPP180315-N-1,18 TNC WEST,58.51,5.60,4.22,163.56,1.52,<0.28,,
RHL180316-N-1,19 TNC WEST,75.12,11.23,9.61,417.58,3.10,2.89
RFN180316-N-1,20 TNC WEST,71.16,7.70,4.54,104.20,6.75,<0.28
RON180316-N-1,21 TNC WEST,80.82,6.06,4.61,93.01,5.36,0.48
RFS180316-N-1,22 TNC WEST,230.31,19.70,19.00,1601.90,178.38,4.03
RKO180316-N-1,23 TNC WEST,138.61,14.75,12.89,710.96,77.76,2.15
RKV180316-N-1,24 TNC WEST,120.84,13.07,11.18,740.29,34.27,11.81
