,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,5/10/23,WM121,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,Salinity,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,0/00,,,,
RNS230502-N-1,1,83.85,11.92,8.32,593.09,19.38,3.84,34.07,,,,
RPO230502-N-1,2,186.42,12.23,9.58,1436.35,115.07,5.48,33.32,,,,
RKS230502-N-1,3,73.27,9.57,5.29,95.06,5.85,2.25,34.66,,,,
RKT230502-N-1,4,88.45,9.26,4.07,164.51,3.45,5.67,34.60,,,,
RCB230502-N-1,5,116.66,12.22,7.95,670.63,48.33,2.78,34.02,,,,
RWA230502-N-1,6,84.25,13.38,8.95,666.94,12.75,2.12,34.05,,,,
PFF230503-N-1,7,70.84,9.54,5.51,264.23,2.43,4.75,34.39,,,,
PLH230503-N-1,8,76.32,10.04,5.61,103.43,4.44,3.87,34.62,,,,
PLT230503-N-1,9,78.06,9.60,5.87,126.63,7.61,5.09,34.68,,,,
OCO230503-N-1,10,70.96,8.31,5.54,646.88,3.00,2.30,34.49,,,,
OMM230503-N-1,11,76.42,5.60,3.85,375.74,3.30,6.80,34.44,,,,
OUB230503-N-1,12,71.64,8.97,4.28,68.47,3.98,3.78,34.83,,,,
OPP230503-N-1,13,63.70,7.46,4.31,44.37,1.82,2.78,34.83,,,,
RHL230504-N-1,14,88.35,11.77,7.73,597.49,2.45,6.50,33.49,,,,
RON230504-N-1,15,73.07,8.53,3.86,115.32,2.27,2.02,34.69,,,,
RFS230504-N-1,16,86.02,11.26,6.86,296.80,16.26,2.87,34.51,,,,
RKO230504-N-1,17,124.43,12.70,10.95,839.02,56.30,3.89,33.74,,,,
RKV230504-N-1,18,85.58,8.58,4.50,228.90,6.81,3.01,34.63,,,,
