,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,6/6/17,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS170530-N-1,1 TNC,102.75,11.34,8.89,692.06,36.12,4.31
RPO170530-N-1,2 TNC,221.50,14.04,12.27,1133.73,151.18,6.19
RKS170530-N-1,3 TNC,72.95,8.76,5.70,146.13,7.64,3.39,,
RAB170530-N-1,4 TNC,86.47,10.51,6.24,427.43,24.06,2.82,,
RCB170530-N-1,5 TNC,144.84,13.37,8.19,657.55,63.53,5.30,,
RWA170530-N-1,6 TNC,91.95,15.19,12.60,1009.81,34.86,2.93,,
RWA170530-N-2,7 TNC,90.98,15.10,12.62,1009.07,35.37,3.09,,
PFF170531-N-1,8 TNC,70.51,12.12,11.89,1061.01,7.05,4.60,,
PLH170531-N-1,9 TNC,70.11,11.37,9.18,331.09,9.63,5.91,,
PLT170531-N-1,10 TNC,112.14,13.81,9.87,530.06,27.14,5.73,,
PPU170531-N-1,11 TNC,63.06,10.43,4.14,132.33,4.13,1.84,,
OLP170531-N-1,12 TNC,98.09,8.48,4.65,69.65,6.98,7.24,,
OSF170531-N-1,13 TNC,66.91,6.41,4.23,70.33,8.73,3.19,,
OPM170601-N-1,14 TNC,81.28,7.25,4.42,211.99,11.56,2.81,,
OCO170601-N-1,15 TNC,62.10,7.93,5.01,360.92,8.71,2.91,,
OMM170601-N-1,16 TNC,62.55,6.53,4.96,233.74,4.74,3.37,,
OUB170601-N-1,17 TNC,63.06,7.80,3.56,83.75,1.84,1.26,,
OPB170601-N-1,18 TNC,64.32,7.26,2.81,61.83,2.19,1.72,,
OPP170601-N-1,19 TNC,65.60,9.21,3.65,71.59,2.54,1.59
,,,,,,,
