,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,9/14/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO160906-N-1,1 TNC,137.96,18.44,12.09,626.96,83.69,4.98
RKS160906-N-1,2 TNC,66.51,16.19,6.75,144.16,4.15,1.65
RAB160906-N-1,3 TNC,81.25,15.44,7.41,368.38,26.83,<1.5
RCB160906-N-1,4 TNC,94.08,19.79,8.41,405.02,34.91,2.48
RWA160906-N-1,5 TNC,68.40,21.59,9.15,355.63,9.97,<1.5
PFF160907-N-1,6 TNC,61.97,20.83,12.84,903.66,6.45,2.04
PFF160907-N-2,7 TNC,75.86,17.83,9.04,474.04,4.32,1.65
PLH160907-N-1,8 TNC,71.64,10.36,5.46,99.94,5.97,2.61
PLT160907-N-1,9 TNC,87.18,11.37,7.85,164.84,5.45,5.25
OLP160907-N-1,10 TNC,73.69,11.47,4.37,70.91,3.11,2.05
OSF160907-N-1,11 TNC,82.56,13.03,4.24,63.23,4.70,4.48
OPM160908-N-1,12 TNC,63.84,13.04,4.22,150.76,4.74,<1.5
OCO160908-N-1,13 TNC,92.16,12.98,5.25,259.77,4.71,4.29
OMM160908-N-1,14 TNC,59.11,11.34,5.15,189.13,4.15,2.10
OPB160908-N-1,15 TNC,64.37,10.55,3.44,74.29,3.42,1.97
