,,Data Provided by:,,,,,,,
,,SOEST Laboratory for ,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,
,,University of Hawaii at Manoa ,,,,,,,
,,1000 Pope Rd,,,,,,,
,,"Honolulu, HI 96822",,,,,,,
,,808-956-5878,,,,,,,
,,,,,,,,,
,,Date Samples Received:,,5/1/19,,,,,
,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
RNS190423-N-1,1,140.61,14.70,10.50,692.46,48.73,4.25,,
RPO190423-N-1,2,224.94,16.87,13.04,1109.94,141.87,3.74,,
RKS190423-N-1,3,105.75,10.22,6.01,335.76,7.92,4.41,,
RCB190423-N-1,4,193.89,14.72,10.30,857.98,108.01,3.44,,
RWA190423-N-1,5,128.88,20.08,16.90,1435.96,45.80,1.01,,
PFF190424-N-1,6,128.22,11.40,7.07,262.60,3.88,2.76,,
PLH190424-N-1,7,88.06,10.87,5.55,189.92,3.29,2.90,,
PLT190424-N-1,8,97.34,9.82,5.97,278.18,16.50,3.83,,
OSF190424-N-1,9,94.98,9.69,5.83,114.26,3.24,3.36,,
OPM190425-N-1,10,109.20,9.61,5.16,188.82,2.21,4.43,,
OCO190425-N-1,11,101.44,7.80,4.11,336.45,5.89,2.42,,
OUB190425-N-1,12,101.98,8.74,4.19,96.90,3.29,1.90,,
OPB190425-N-1,13,86.38,6.97,2.09,83.90,0.83,0.38,,
OPP190425-N-1,14,86.43,8.55,4.59,190.44,0.73,0.58,,
RHL190426-N-1,15,141.06,17.08,10.55,906.30,13.98,13.88,,
RON190426-N-1,16,102.25,10.17,4.26,100.56,4.61,1.70,,
RFS190426-N-1,17,236.67,27.10,23.76,1625.82,149.21,3.45,,
RKO190426-N-1,18,157.71,14.56,11.32,711.84,67.79,2.21,,
RKV190426-N-1,19,124.17,10.24,5.76,447.17,20.54,2.62,,
