,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,7/31/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO160726-N-1,TNC 1,282.81,23.89,17.06,1116.96,200.67,6.69
RKS160726-N-1,TNC 2,96.67,13.00,6.41,60.27,3.75,6.35
RAB160726-N-1,TNC 3,87.42,13.39,6.82,267.63,16.56,6.02
RCB160726-N-1,TNC 4,111.92,14.07,9.14,449.68,40.03,4.68
RWA160726-N-1,TNC 5,87.81,15.67,9.77,467.63,13.19,4.55
PFF160727-N-1,TNC 6,71.18,13.84,9.21,483.78,3.08,9.48
PLH160727-N-1,TNC 7,85.14,13.66,10.11,408.47,7.68,6.57
PLT160727-N-1,TNC 8,75.74,11.26,7.09,217.97,7.19,5.11
OLP160727-N-1,TNC 9,71.08,10.63,4.47,29.59,1.24,3.97
OSF160727-N-1,TNC 10,88.96,10.52,4.72,44.64,3.82,5.97
OPM160728-N-1,TNC 11,90.37,10.08,4.59,294.07,3.19,11.32
OCO160728-N-1,TNC 12,64.44,9.97,6.95,560.00,1.65,42.04
OMM160728-N-1,TNC 13,70.46,10.01,6.42,261.28,3.33,6.30
OUB160728-N-1,TNC 14,73.55,10.71,4.75,76.83,1.09,9.69
OPB160728-N-1,TNC 15,72.91,9.33,2.85,55.37,1.02,4.39
OPP160728-N-1,TNC 16,71.58,11.41,2.85,156.17,1.97,7.43
