,,Data Provided by:,,,,,,,
,,SOEST Laboratory for ,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,
,,University of Hawaii at Manoa ,,,,,,,
,,1000 Pope Rd,,,,,,,
,,"Honolulu, HI 96822",,,,,,,
,,808-956-5878,,,,,,,
,,,,,,,,,
,,Date Samples Received:,,4/16/19,,,,,
,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
RNS190402-N-1,1,110.07,12.94,8.98,723.99,35.44,1.67,,
RPO190402-N-1,2,401.68,21.93,18.46,2106.23,356.87,2.58,,
RKS190402-N-1,3,102.69,9.89,5.72,315.94,4.77,4.48,,
RCB190402-N-1,4,149.70,13.69,7.83,557.13,72.80,2.09,,
RWA190402-N-1,5,126.82,19.13,16.43,1665.84,53.54,1.46,,
PFF190403-N-1,6,88.33,9.43,3.54,149.06,1.19,0.67,,
PLH190403-N-1,7,78.51,10.02,6.15,337.15,3.98,6.19,,
PLT190403-N-1,8,74.18,9.15,4.07,122.61,3.55,2.05,,
OSF190403-N-1,9,67.30,7.74,3.80,133.48,3.29,1.31,,
OPM190404-N-1,10,84.85,8.25,4.60,162.71,1.90,0.48,,
OCO190404-N-1,11,72.93,7.57,3.66,207.97,1.80,1.36,,
OUB190404-N-1,12,88.30,8.57,4.57,98.64,5.57,<0.28,,
OPB190404-N-1,13,75.68,7.83,2.77,73.40,1.24,0.47,,
OPP190404-N-1,14,63.48,6.86,3.02,128.99,1.00,0.63,,
RHL190405-N-1,15,85.11,14.42,9.80,711.37,3.23,3.23,,
RON190405-N-1,16,90.36,10.42,4.10,72.07,3.34,0.43,,
RFS190405-N-1,17,281.84,24.37,20.39,1558.83,187.65,3.38,,
RKO190405-N-1,18,108.31,11.63,8.91,1003.74,33.68,0.43,,
RKV190405-N-1,19,147.25,13.46,11.74,774.29,77.89,1.80,,
