,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,10/10/23,FR5,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
LMT231005-N-1,FR-1,98.03,6.48,5.40,404.78,21.94,2.73,,,,
LMR231005-N-1,FR-2,87.64,8.01,4.55,239.12,4.59,4.48,,,,
LPS231005-N-1,FR-3,85.46,6.24,1.61,127.55,1.36,1.48,,,,
LLH231005-N-1,FR-4,91.52,8.56,3.17,135.57,2.46,1.66,,,,
PFF231005-N-1,FR-5,88.41,8.59,3.25,82.61,2.47,0.80,,,,
PLH231005-N-1,FR-6,86.93,9.71,6.10,394.90,4.80,2.85,,,,
PLT231005-N-1,FR-7,119.11,9.80,8.18,737.27,17.66,14.99,,,,
