,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,8/27/20,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS200818-N-1,1,209.69,15.11,13.97,1337.97,86.02,3.81,,,
RPO200818-N-1,2,1140.67,44.02,41.58,2262.99,258.94,92.42,,,
RKS200818-N-1,3,92.51,8.51,4.75,172.39,14.50,5.40,,,
RKT200818-N-1,4,85.17,8.20,4.97,213.71,3.62,5.55,,,
RCB200818-N-1,5,176.71,11.07,7.68,742.12,78.12,5.42,,,
RWA200818-N-1,6,117.73,14.81,12.24,1253.70,40.22,2.08,,,
PFF200819-N-1,7,90.06,9.09,5.97,408.12,5.45,3.27,,,
PLH200819-N-1,8,93.66,8.44,5.95,329.65,10.41,5.70,,,
PLT200819-N-1,9,93.30,6.57,4.23,169.70,9.09,7.50,,,
OCO200819-N-1,10,111.92,8.01,6.34,543.12,8.14,4.85,,,
OPP200819-N-1,11,89.64,7.60,3.91,158.79,4.01,2.26,,,
RHL200820-N-1,12,101.79,11.43,7.83,403.11,6.13,6.93,,,
RON200820-N-1,13,94.99,8.11,4.36,152.09,9.54,2.98,,,
RFS200820-N-1,14,269.72,26.27,25.05,3064.14,192.24,3.25,,,
RKO200820-N-1,15,150.04,12.26,9.71,714.06,80.06,3.06,,,
RKV200820-N-1,16,122.47,9.69,6.43,684.91,43.23,2.89,,,
King Tide,,,,,,,,,,
RNS200817-N-1,1 KT,115.31,8.96,5.47,248.69,10.79,7.05,,,
RKO200817-N-1,2 KT,105.64,9.90,7.11,233.66,17.95,3.50,,,
RPO200817-N-1,3 KT,115.13,9.87,6.59,282.85,25.86,7.13,,,
RKS200817-N-1,4 KT,87.84,9.22,5.78,329.79,5.60,5.35,,,
OUB200817-N-1,5 KT,81.73,7.26,4.20,70.55,6.13,2.00,,,
