,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,12/6/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO161129-N-1,1 TNC,134.74,15.76,10.78,675.12,67.99,2.79
RKS161129-N-1,2 TNC,87.03,9.48,4.61,308.06,4.90,3.03
RKS161129-N-2,3 TNC,88.89,9.02,4.76,310.67,4.80,3.00
RAB161129-N-1,4 TNC,83.38,5.77,4.06,386.57,21.25,1.64
RCB161129-N-1,5 TNC,137.85,9.45,7.10,848.06,77.66,3.07
RWA161129-N-1,6 TNC,94.79,10.29,8.92,908.64,37.28,<1.5
PFF161130-N-1,7 TNC,70.03,9.69,8.11,663.05,5.74,2.21
PLH161130-N-1,8 TNC,93.30,9.04,5.80,469.52,18.08,4.76
PLT161130-N-1,9 TNC,103.45,9.58,5.64,542.06,33.68,5.22
PPU161130-N-1,10 TNC,69.41,5.64,2.39,332.00,3.67,1.84
OLP161130-N-1,11 TNC,68.25,6.79,1.87,175.70,2.67,2.76
OSF161130-N-1,12 TNC,78.82,8.00,3.87,214.64,5.82,3.81
OPM161201-N-1,13 TNC,65.59,8.15,2.42,226.30,4.35,<1.5
OCO161201-N-1,14 TNC,61.55,6.50,3.16,291.07,5.08,2.14
OMM161201-N-1,15 TNC,75.00,7.87,3.97,272.05,6.58,4.13
OUB161201-N-1,16 TNC,60.43,6.43,2.67,148.15,1.68,1.58
OPB161201-N-1,17 TNC,63.46,5.93,3.97,219.11,7.36,2.14
OPP161201-N-1,18 TNC,57.89,3.82,2.51,171.20,2.60,<1.5
,,,,
