,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,9/4/19,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS190827-N-1,1,155.04,11.67,8.09,966.68,76.08,4.06,,,
RPO190827-N-1,2,249.56,12.02,8.67,1179.33,197.79,3.03,,,
RKS190827-N-1,3,87.55,7.08,3.85,211.56,5.58,3.24,,,
RCB190827-N-1,4,161.76,9.56,6.54,773.86,91.44,1.97,,,
RWA190827-N-1,5,117.57,10.94,8.63,1056.30,28.60,0.37,,,
PFF190828-N-1,6,91.91,10.58,6.82,626.42,4.99,1.74,,,
PLH190828-N-1,7,77.01,6.91,2.85,170.51,4.39,2.37,,,
PLT190828-N-1,8,104.56,6.13,3.34,566.45,31.97,3.15,,,
RHL190830-N-1,15,88.80,10.05,5.89,452.68,3.89,7.11,,,
RON190830-N-1,16,83.24,6.49,1.97,142.23,6.94,1.74,,,
RFS190830-N-1,17,333.06,22.98,22.59,2319.25,269.37,2.84,,,
RKO190830-N-1,18,138.18,9.85,7.89,720.21,71.94,2.11,,,
RKV190830-N-1,19,129.55,9.80,5.62,654.60,43.46,5.33,,,
