,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,12/29/22,WM115,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
RNS221223-N-1,1,79.52,8.78,5.16,174.81,7.91,2.73,,,,,
RPO221223-N-1,2,104.32,11.85,9.04,619.02,43.62,3.20,,,,,
RKS221223-N-1,3,92.01,12.96,5.59,141.57,6.88,8.88,,,,,
RKT221223-N-1,4,97.47,10.68,6.67,276.82,22.20,16.05,,,,,
RCB221223-N-1,5,123.50,10.58,6.80,584.29,46.09,7.76,,,,,
RWA221223-N-1,6,82.68,10.94,7.96,706.11,14.79,1.83,,,,,
PFF221221-N-1,7,105.55,11.90,8.48,457.41,16.80,5.88,,,,,
PLH221221-N-1,8,100.11,10.44,5.95,210.85,10.75,4.09,,"*The label on this bottle read ""PLH221222-N-1""",,,
PLT221221-N-1,9,91.25,10.95,6.44,209.41,10.87,3.82,,,,,
OCO221221-N-1,10,92.15,11.01,7.84,547.85,15.81,4.55,,,,,
OPP221221-N-1,11,86.99,8.52,5.80,194.56,12.56,2.66,,,,,
RHL221222-N-1,12,87.72,11.53,9.15,516.31,7.74,5.73,,,,,
RON221222-N-1,13,76.51,7.42,3.96,76.85,3.18,1.28,,,,,
RFS221222-N-1,14,119.06,11.64,8.81,605.47,30.71,3.56,,,,,
RKO221222-N-1,15,129.57,16.09,14.12,735.78,61.27,3.24,,,,,
RKV221222-N-1,16,74.05,8.62,5.67,229.29,8.58,2.25,,,,,
