,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,5/20/20,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS200512-N-1,1,108.93,10.46,7.55,372.83,19.04,2.20,,,
RPO200512-N-1,2,525.71,19.49,17.91,2397.48,406.76,3.51,,,
RKS200512-N-1,3,106.38,7.94,4.87,141.08,6.96,1.54,,,
RCB200512-N-1,4,191.91,10.88,7.87,767.93,94.70,1.99,,,
RWA200512-N-1,5,112.45,13.72,9.86,960.38,25.35,2.57,,,
PFF200513-N-1,6,96.04,8.62,5.62,199.31,9.27,1.32,,,
PLH200513-N-1,7,108.24,9.62,7.90,500.17,13.25,5.77,,,
PLT200513-N-1,8,93.41,10.14,5.91,307.74,3.67,0.62,,,
OSF200513-N-1,9,116.80,6.59,4.14,156.96,6.22,5.08,,,
OPM200514-N-1,10,141.79,7.69,4.13,209.79,6.58,30.45,,,
OCO200514-N-1,11,100.28,5.80,4.15,344.67,6.89,2.08,,,
OUB200514-N-1,12,95.51,6.96,3.41,95.71,5.54,3.43,,,
OPB200514-N-1,13,99.59,16.69,15.21,127.56,6.16,6.70,,,
OPP200514-N-1,14,87.05,5.69,4.05,90.19,4.35,1.83,,,
RHL200515-N-1,15,97.07,11.26,7.67,475.90,4.41,6.50,,,
RON200515-N-1,16,92.59,6.87,4.51,107.79,7.21,2.33,,,
RFS200515-N-1,17,174.32,13.92,13.20,946.72,86.06,4.43,,,
RKO200515-N-1,18,192.38,13.36,11.59,831.13,99.91,4.01,,,
RKV200515-N-1,19,116.12,8.72,8.01,625.32,28.28,4.33,,,
