,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,11/10/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO161101-N-1,1 TNC,154.28,18.70,15.28,800.68,83.68,7.16
RKS161101-N-1,2 TNC,110.80,31.54,9.17,500.48,4.13,10.95
RAB161101-N-1,3 TNC,84.64,20.70,8.34,421.29,15.51,7.16
RCB161101-N-1,4 TNC,96.42,21.82,6.94,381.22,28.69,3.18
RWA161101-N-1,5 TNC,79.04,21.10,7.87,448.87,14.07,3.14
PFF161102-N-1,6 TNC,73.98,25.03,14.66,1383.13,4.85,3.18
PLH161102-N-1,7 TNC,90.53,16.70,10.75,568.93,8.80,19.57
PLH161102-N-2,8 TNC,94.02,17.60,10.76,588.56,9.35,18.21
PLT161102-N-1,9 TNC,76.59,19.14,8.08,400.73,6.79,7.68
PPU161102-N-1,10 TNC,78.02,12.23,5.60,152.39,1.51,4.77
OLP161102-N-1,11 TNC,89.32,6.68,4.19,156.12,0.49,8.45
OSF161102-N-1,12 TNC,69.27,9.30,5.07,63.82,4.07,7.16
OPM161103-N-1,13 TNC,62.91,9.99,5.82,125.93,3.09,3.08
OCO161103-N-1,14 TNC,58.51,16.20,4.77,113.51,3.92,3.10
OMM161103-N-1,15 TNC,57.79,14.48,5.13,216.37,3.16,3.08
OUB161103-N-1,16 TNC,64.27,11.71,4.53,58.71,2.46,3.21
OPB161103-N-1,17 TNC,62.94,14.86,4.43,53.15,2.58,3.18
OPP161103-N-1,18 TNC,58.91,16.34,4.94,164.01,2.31,3.18
