,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,2/6/18,,
,,,,,,,
,,,Project:,MNMRC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS180130-N-1,1 TNC WEST,255.58,14.97,6.99,186.81,15.38,15.20
RPO180130-N-1,2 TNC WEST,179.98,18.76,14.42,859.56,110.71,3.01
RKS180130-N-1,3 TNC WEST,117.96,13.97,6.18,159.63,11.67,2.91,,
RAB180130-N-1,4 TNC WEST,116.81,14.94,8.46,338.21,16.56,2.85,,
RCB180130-N-1,5 TNC WEST,233.64,15.66,11.29,1296.20,174.33,3.50,,
RWA180130-N-1,6 TNC WEST,129.35,18.46,13.70,1132.35,42.42,3.31,,
PFF180131-N-1,7 TNC WEST,105.68,16.46,8.12,534.67,13.60,2.06,,
PLH180131-N-1,8 TNC WEST,121.67,13.92,7.23,500.69,25.23,3.62,,
PLT180131-N-1,9 TNC WEST,117.38,11.80,5.05,384.65,23.04,2.86,,
PPU180131-N-1,10 TNC WEST,94.01,11.77,4.00,278.68,6.18,3.05,,
OLP180131-N-1,11 TNC WEST,117.76,11.21,4.67,171.51,10.60,2.63,,
OSF180131-N-1,12 TNC WEST,110.95,11.97,6.00,238.97,12.79,3.34,,
OPM180201-N-1,13 TNC WEST,94.69,10.96,6.06,158.24,10.98,2.41,,
OCO180201-N-1,14 TNC WEST,88.50,9.35,5.28,277.84,11.37,2.26,,
OMM180201-N-1,15 TNC WEST,86.10,9.83,5.18,358.08,12.66,2.85,,
OUB180201-N-1,16 TNC WEST,88.25,10.04,4.63,81.61,8.38,1.18,,
OPB180201-N-1,17 TNC WEST,102.27,10.24,3.98,76.50,11.81,2.47,,
OPP180201-N-1,18 TNC WEST,81.97,10.34,4.04,94.90,3.59,1.51,,
RHL180202-N-1,19 TNC WEST,115.79,11.65,7.14,280.13,5.05,4.77
RFN180202-N-1,20 TNC WEST,93.51,10.65,5.02,144.58,7.78,1.52
RON180202-N-1,21 TNC WEST,93.82,11.64,4.29,110.57,12.00,4.81
RFS180202-N-1,22 TNC WEST,126.83,14.47,8.08,479.45,45.98,3.48
RKO180202-N-1,23 TNC WEST,106.42,14.83,10.58,353.31,31.56,2.57
RKV180202-N-1,24 TNC WEST,135.79,14.46,13.92,677.94,38.89,4.70
