,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,10/29/20,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS201020-N-1,1,157.20,11.63,7.66,190.39,10.03,8.92,,,
RPO201020-N-1,2,84.73,9.26,6.48,232.29,12.63,2.64,,,
RKS201020-N-1,3,138.77,8.41,5.20,158.93,7.91,7.35,,,
RKT201020-N-1,4,103.26,10.04,7.43,335.50,10.38,6.93,,,
RCB201020-N-1,5,83.36,8.38,4.30,263.10,15.08,2.66,,,
RWA201020-N-1,6,90.67,10.48,6.50,372.61,8.00,2.75,,,
PFF201021-N-1,7,89.14,12.07,10.79,1056.15,6.53,3.54,,,
PLH201021-N-1,8,75.86,8.77,6.58,270.50,7.96,1.59,,,
PLT201021-N-1,9,88.31,8.75,6.57,419.92,15.00,3.84,,,
OCO201021-N-1,10,76.17,6.09,3.71,316.12,5.21,1.10,,,
OPP201021-N-1,11,69.44,5.83,3.49,132.75,5.53,<0.28,,,
RHL201022-N-1,12,88.50,8.61,3.51,123.47,4.68,2.20,,,
RON201022-N-1,13,76.25,7.37,3.29,125.70,6.19,0.59,,,
RFS201022-N-1,14,85.56,9.94,4.98,158.98,8.09,5.63,,,
RKO201022-N-1,15,83.30,9.94,6.84,239.32,22.26,1.45,,,
RKV201022-N-1,16,76.11,10.30,6.62,345.06,9.57,0.44,,,
