,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,10/13/17,,
,,,,,,,
,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS171003-N-1,1 TNC,117.08,13.06,10.70,608.57,37.65,7.10
RPO171003-N-1,2 TNC,240.05,33.80,17.82,1292.44,151.01,7.55
RKS171003-N-1,3 TNC,65.16,9.21,6.69,160.43,5.79,2.59,,
RAB171003-N-1,4 TNC,82.29,9.52,8.52,561.15,26.42,2.83,,
RCB171003-N-1,5 TNC,222.01,21.54,13.88,966.95,116.77,12.57,,
RWA171003-N-1,6 TNC,118.54,35.86,12.56,759.61,24.31,3.49,,
PFF171004-N-1,7 TNC,57.25,10.89,8.62,445.48,2.93,2.88,,
PLH171004-N-1,8 TNC,126.79,11.86,10.95,332.70,7.59,11.59,,
PLT171004-N-1,9 TNC,78.79,10.80,7.70,477.59,19.84,4.53,,
PPU171004-N-1,10 TNC,94.06,10.65,5.29,214.25,1.41,5.88,,
OLP171004-N-1,11 TNC,57.29,10.54,4.77,106.36,1.30,2.92,,
OSF171004-N-1,12 TNC,130.79,49.42,10.58,122.52,4.88,7.73,,
OPM171005-N-1,13 TNC,62.20,11.64,5.22,135.62,3.56,3.65,,
OCO171005-N-1,14 TNC,57.02,12.77,7.14,444.21,5.20,2.71,,
OMM171005-N-1,15 TNC,55.52,11.76,6.59,446.73,5.82,2.18,,
OUB171005-N-1,16 TNC,67.18,12.94,5.57,146.18,5.93,2.45,,
OPB171005-N-1,17 TNC,61.10,11.56,4.78,197.74,5.71,3.09,,
OPP171005-N-1,18 TNC,63.45,11.94,5.38,328.14,4.03,3.50,,
RHL171006-N-1,19 TNC,62.75,13.40,10.82,506.63,4.92,5.47
RFN171006-N-1,20 TNC,61.83,13.19,7.48,334.06,8.24,4.60
RON171006-N-1,21 TNC,82.52,32.54,7.61,83.75,2.72,3.06
RFS171006-N-1,22 TNC,130.02,17.79,15.76,934.61,85.88,5.29
RKO171006-N-1,23 TNC,113.87,17.09,15.46,691.32,70.33,3.69
RKV171006-N-1,24 TNC,71.99,12.35,6.59,179.47,9.28,3.04
RKV171006-N-2,25 TNC,70.10,11.16,6.18,447.97,6.27,3.91
