,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,7/19/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO160712-N-1,TNC 1,308.74,24.52,16.42,1360.25,250.73,2.25
RKS160712-N-1,TNC 2,73.05,14.52,6.85,680.64,2.96,2.66
RAB160712-N-1,TNC 3,79.38,16.45,7.04,331.03,15.44,1.58
RCB160712-N-1,TNC 4,122.69,18.54,8.49,620.86,55.72,2.02
RWA160712-N-1,TNC 5,83.07,19.36,10.40,617.54,15.74,<1.5
PFF160713-N-1,TNC 6,69.41,17.38,8.43,405.40,3.10,<1.5
PLH160713-N-1,TNC 7,81.90,17.35,8.05,279.73,8.05,2.77
PLT160713-N-1,TNC 8,97.03,18.16,8.69,550.84,22.19,6.61
OLP160713-N-1,TNC 9,98.89,13.90,6.06,87.57,1.38,2.49
OSF160713-N-1,TNC 10,75.50,13.92,5.10,120.86,5.10,3.37
OPM160714-N-1,TNC 11,79.94,13.63,4.67,136.12,2.54,2.21
OCO160714-N-1,TNC 12,67.22,14.86,7.36,595.45,1.49,<1.5
OMM160714-N-1,TNC 13,65.68,15.90,6.58,452.22,3.83,3.08
OUB160714-N-1,TNC 14,77.70,11.77,4.37,74.21,1.87,2.19
OPB160714-N-1,TNC 15,64.97,11.63,3.26,111.92,3.02,2.43
OPP160714-N-1,TNC 16,59.68,12.45,4.42,149.82,1.30,1.92
