,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,4/11/18,,
,,,,,,,
,,,Project:,MNMRC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS180403-N-1,1 TNC WEST,113.59,26.77,12.27,794.55,50.30,3.13
RPO180403-N-1,2 TNC WEST,168.08,24.79,11.88,835.51,107.44,2.58
RKS180403-N-1,3 TNC WEST,116.74,20.28,8.12,240.39,13.45,8.09,,
RAB180403-N-1,4 TNC WEST,129.94,20.71,9.58,661.30,43.46,2.38,,
RCB180403-N-1,5 TNC WEST,219.23,19.54,8.91,584.36,69.31,12.42,,
RWA180403-N-1,6 TNC WEST,105.15,19.56,7.06,381.20,20.62,3.96,,
PFF180404-N-1,7 TNC WEST,84.17,18.37,10.52,871.66,10.66,1.52,,
PLH180404-N-1,8 TNC WEST,138.78,19.88,12.40,707.90,48.36,6.87,,
PLT180404-N-1,9 TNC WEST,119.55,19.24,8.98,539.28,25.01,8.14,,
PPU180404-N-1,10 TNC WEST,84.04,13.95,5.27,335.57,6.12,0.72,,
OLP180404-N-1,11 TNC WEST,84.29,12.80,5.26,145.55,4.62,1.08,,
OSF180404-N-1,12 TNC WEST,83.40,14.49,7.32,241.88,7.22,3.92,,
OPM180405-N-1,13 TNC WEST,79.33,13.35,6.14,191.97,5.19,1.43,,
OCO180405-N-1,14 TNC WEST,65.34,11.43,4.62,241.20,4.49,0.78,,
OMM180405-N-1,15 TNC WEST,68.04,9.37,5.40,470.80,5.26,2.26,,
OUB180405-N-1,16 TNC WEST,63.96,10.49,4.72,102.40,1.33,0.72,,
OPB180405-N-1,17 TNC WEST,72.11,8.38,5.09,122.49,6.25,0.83,,
OPP180405-N-1,18 TNC WEST,63.61,7.73,5.00,95.06,1.00,<0.28,,
RHL180406-N-1,19 TNC WEST,84.11,9.58,7.42,700.70,5.12,2.85
RFN180406-N-1,20 TNC WEST,109.75,13.14,7.29,395.45,17.37,4.92
RON180406-N-1,21 TNC WEST,82.35,12.93,4.40,151.26,9.81,1.37
RFS180406-N-1,22 TNC WEST,285.10,24.62,22.09,1823.13,222.36,4.39
RKO180406-N-1,23 TNC WEST,102.61,10.87,8.74,335.18,36.11,3.55
RKV180406-N-1,24 TNC WEST,81.22,6.30,5.57,296.43,12.58,0.98
