,,,Data Provided by:,,,,,,
,,,SOEST Laboratory for ,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,
,,,University of Hawaii at Manoa ,,,,,,
,,,1000 Pope Rd,,,,,,
,,,"Honolulu, HI 96822",,,,,,
,,,808-956-5878,,,,,,
,,,,,,,,,
,,,Date Samples Received:,,2/27/19,,,,
,,,,,,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
RNS190220-N-1,1,78.58,10.60,7.85,244.88,12.33,4.10,,
RPO190220-N-1,2,213.77,18.62,16.90,1279.01,117.97,4.94,,
RKS190220-N-1,3,96.28,10.22,7.58,546.95,8.48,6.01,,
RCB190220-N-1,4,100.03,11.07,7.59,282.20,22.20,6.12,,
RWA190220-N-1,5,91.52,18.02,15.99,1260.41,22.24,1.81,,
PFF190220-N-1,6,73.53,12.37,10.35,738.52,4.82,4.49,,
PLH190220-N-1,7,76.61,12.04,10.41,463.40,15.68,4.73,,
PLT190220-N-1,8,94.75,10.48,9.49,487.22,22.02,8.93,,
OSF190220-N-1,9,69.79,9.60,7.39,184.02,8.35,6.22,,
OPM190221-N-1,10,82.15,9.12,7.35,193.22,5.54,8.25,,"NOTE: On the bottle this is labeled as ""OPM190221-N-1"""
OCO190221-N-1,11,64.94,7.55,5.48,169.78,4.08,3.18,,
OUB190221-N-1,12,59.96,6.55,5.23,139.05,1.89,2.25,,
OPB190221-N-1,13,63.12,7.63,5.87,92.19,3.44,2.08,,
OPP190221-N-1,14,68.72,7.17,5.77,85.93,3.14,1.86,,
RHL190222-N-1,15,103.80,11.38,9.04,425.57,8.06,1.91,,
RON190222-N-1,16,87.33,7.83,4.86,93.52,5.64,3.95,,
RFS190222-N-1,17,222.19,17.78,16.68,1384.11,114.49,1.93,,
RKO190222-N-1,18,118.76,13.93,11.52,453.37,35.22,1.08,,
RKV190222-N-1,19,98.57,11.34,9.69,757.11,21.29,4.47,,
