,,,Data Provided by:,,,,,,
,,,SOEST Laboratory for ,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,
,,,University of Hawaii at Manoa ,,,,,,
,,,1000 Pope Rd,,,,,,
,,,"Honolulu, HI 96822",,,,,,
,,,808-956-5878,,,,,,
,,,,,,,,,
,,,Date Samples Received:,,12/18/18,,,,
,,,,,,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
RNS181211-N-1,1,101.57,7.68,4.08,140.92,8.74,5.23,,
RPO181211-N-1,2,118.22,12.63,10.11,332.51,27.68,10.48,,
RKS181211-N-1,3,130.59,7.74,6.29,1181.57,36.65,3.91,,
RCB181211-N-1,4,141.45,9.79,5.29,436.97,51.37,6.84,,
RWA181211-N-1,5,115.03,12.91,10.57,774.52,23.48,6.52,,
PFF181212-N-1,6,91.78,8.18,4.86,355.47,3.01,5.81,,
PLH181212-N-1,7,97.11,9.63,7.45,449.80,8.13,5.96,,
PLT181212-N-1,8,91.35,11.64,7.13,288.57,10.57,10.49,,
OSF181212-N-1,9,90.86,7.05,3.18,97.65,4.14,4.94,,
OPM181213-N-1,10,100.37,6.33,3.01,166.35,3.58,4.68,,
OCO181213-N-1,11,96.64,4.52,2.04,168.01,6.04,7.10,,
OUB181213-N-1,12,96.96,6.77,3.18,132.33,5.16,7.44,,
OPB181213-N-1,13,90.33,7.06,3.54,166.23,5.34,6.46,,
OPP181213-N-1,14,89.60,6.11,3.73,336.18,8.84,3.76,,
RHL181214-N-1,15,113.86,9.56,7.37,412.34,9.94,5.75,,
RON181214-N-1,16,92.12,6.09,2.51,102.50,5.49,4.50,,
RFS181214-N-1,17,126.16,11.66,10.22,437.10,35.93,6.94,,
RKO181214-N-1,18,122.69,10.40,9.20,405.24,43.77,6.00,,
RKV181214-N-1,19,90.06,10.08,8.92,428.57,18.38,3.65,,
