,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,10/11/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO161004-N-1,1 TNC,109.80,21.40,11.98,496.53,52.67,7.02
RPO161004-N-2,2 TNC,109.88,22.42,12.23,549.35,51.19,6.55
RKS161004-N-1,3 TNC,69.40,16.92,6.58,211.98,10.53,6.14
RAB161004-N-1,4 TNC,85.59,17.23,5.65,317.64,24.89,4.84
RCB161004-N-1,5 TNC,118.93,13.51,8.20,583.21,64.14,7.29
RWA161004-N-1,6 TNC,67.41,13.09,6.05,319.78,10.07,1.76
PFF161005-N-1,7 TNC,78.97,12.60,8.91,459.10,4.15,3.09
PLH161005-N-1,8 TNC,72.92,12.45,8.85,614.34,9.88,12.31
PLT161005-N-1,9 TNC,82.07,12.27,8.79,506.44,16.64,13.89
PPU161005-N-1,10 TNC,75.60,8.21,3.74,148.48,1.88,11.91
OLP161005-N-1,11 TNC,64.15,7.69,3.65,130.16,2.02,11.80
OSF161005-N-1,12 TNC,64.41,8.94,4.53,95.75,4.80,4.55
OPM161006-N-1,13 TNC,66.13,11.01,5.36,184.50,4.33,2.85
OCO161006-N-1,14 TNC,61.49,12.19,5.14,330.13,3.23,3.27
OMM161006-N-1,15 TNC,59.98,13.14,5.31,250.59,5.07,2.87
OUB161006-N-1,16 TNC,61.32,12.66,4.81,84.83,2.93,2.65
OPB161006-N-1,17 TNC,57.25,10.65,3.85,105.42,3.46,3.13
OPP161006-N-1,18 TNC,55.67,12.38,4.64,110.70,2.53,7.04
