,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,11/21/23,WM130,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
RNS231114-N-1,1,87.42,7.10,3.93,102.20,8.84,1.24,,,,
RKS231114-N-1,2,127.89,10.25,8.68,575.54,53.08,2.00,RKS and RPO bottles were swapped in the field,,,
RPO231114-N-1,3,241.32,32.95,30.75,621.02,145.58,3.11,,,,
RKT231114-N-1,4,87.09,10.60,6.87,248.21,11.95,1.03,,,,
RCB231114-N-1,5,91.95,8.46,5.49,193.49,12.24,2.82,,,,
RWA231114-N-1,6,97.07,8.10,5.12,401.83,15.55,0.97,,,,
OCO231115-N-1,7,128.02,5.14,2.67,138.63,3.95,2.95,,,,
OMM231115-N-1,8,77.38,5.05,2.58,162.03,5.36,2.34,,,,
OUB231115-N-1,9,75.45,5.68,2.80,149.88,4.63,0.63,,,,
OPP231115-N-1,10,73.95,5.11,1.46,153.31,2.72,1.29,,,,
LMT231115-N-1,11,116.26,7.24,5.54,570.67,40.83,2.24,,,,
LMR231115-N-1,12,113.26,8.35,7.57,1731.33,30.62,5.62,,,,
LPS231115-N-1,13,82.45,5.94,2.82,85.94,5.39,0.35,,,,
LLH231115-N-1,14,74.39,6.68,3.28,140.41,1.81,0.96,,,,
PFF231115-N-1,15,80.65,7.00,3.78,142.13,5.16,1.06,,,,
PLH231115-N-1,16,89.79,10.06,8.44,569.63,10.58,4.79,,,,
PLT231115-N-1,17,95.02,9.07,8.17,614.46,13.47,9.61,,,,
RHL231116-N-1,18,85.50,8.50,4.95,186.85,2.64,6.53,,,,
RON231116-N-1,19,89.63,6.70,2.84,81.10,4.18,1.03,,,,
RFS231116-N-1,20,87.82,8.21,5.33,147.76,6.13,2.25,,,,
RKO231116-N-1,21,102.05,13.13,11.94,299.35,27.20,3.12,,,,
RKV231116-N-1,22,91.89,7.37,4.38,133.42,6.18,1.02,,,,
