,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,3/7/23,WM118,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
RNS230228-N-1,1,75.46,10.52,5.20,153.65,6.21,1.71,,,,,
RPO230228-N-1,2,210.76,14.07,11.25,967.21,139.18,3.20,,,,,
RKS230228-N-1,3,65.20,9.62,4.82,222.33,3.72,3.14,,,,,
RKT230228-N-1,4,84.28,10.29,4.50,167.93,3.44,4.61,,,,,
RCB230228-N-1,5,123.18,11.56,6.64,598.92,53.27,1.49,,,,,
RWA230228-N-1,6,98.61,12.32,9.11,812.26,19.72,4.51,,Label on the CoC,,,
PFF230301-N-1,7,113.02,13.21,8.97,701.94,6.17,2.95,,PFF230601-N-1,,*Label on CoC differed from bottle and emailed session summary. Bottle and session summary agreed. ,
PLH230301-N-1,8,94.07,13.47,6.82,343.88,4.08,1.61,,PLH230601-N-1,,,
PLT230301-N-1,9,81.52,10.49,6.13,388.87,9.24,4.94,,PLT230601-N-1,,,
OCO230301-N-1,10,81.26,6.76,3.57,505.63,4.86,1.42,,OCO230601-N-1,,,
OPP230301-N-1,11,74.66,9.08,2.93,228.03,2.56,0.84,,OPP230601-N-1,,,
RHL230302-N-1,12,122.10,10.10,5.44,625.00,15.83,6.15,,,,,
RON230302-N-1,13,75.84,9.28,3.10,90.75,1.71,1.32,,,,,
RFS230302-N-1,14,117.74,15.03,10.43,689.69,38.06,2.59,,,,,
RKO230302-N-1,15,113.73,14.56,9.83,605.43,38.13,1.17,,,,,
RKV230302-N-1,16,79.88,10.90,6.97,421.80,8.47,<0.28,,,,,
