,,,Data Provided by:,,,,,,
,,,SOEST Laboratory for ,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,
,,,University of Hawaii at Manoa ,,,,,,
,,,1000 Pope Rd,,,,,,
,,,"Honolulu, HI 96822",,,,,,
,,,808-956-5878,,,,,,
,,,,,,,,,
,,,Date Samples Received:,,3/20/19,,,,
,,,,,,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
RNS190312-N-1,1,98.00,11.72,6.49,336.88,18.33,1.20,,
RPO190312-N-1,2,223.94,15.63,13.41,1041.45,152.73,0.85,,
RKS190312-N-1,3,85.17,9.83,5.65,368.53,3.24,1.92,,
RCB190312-N-1,4,176.71,13.32,9.94,685.55,97.56,1.60,,
RWA190312-N-1,5,101.63,15.63,11.99,1104.11,25.99,0.31,,
PFF190313-N-1,6,76.81,10.92,8.90,522.67,2.78,1.34,,
PLH190313-N-1,7,92.68,9.65,6.62,285.33,9.64,1.09,,
PLT190313-N-1,8,112.21,12.33,8.03,380.61,17.46,12.55,,
OSF190313-N-1,9,89.54,9.27,5.71,161.90,5.89,1.84,,
OPM190314-N-1,10,110.56,10.61,5.53,201.18,3.03,2.73,,
OCO190314-N-1,11,86.22,7.71,5.21,364.67,8.31,0.59,,
OUB190314-N-1,12,76.10,8.79,4.10,154.79,3.56,0.94,,
OPB190314-N-1,13,87.51,7.38,3.20,104.60,3.00,0.73,,
OPP190314-N-1,14,87.18,9.13,5.38,222.33,4.14,<0.28,,
RHL190315-N-1,15,89.66,11.65,7.80,724.54,4.97,1.64,,
RON190315-N-1,16,92.86,9.39,5.60,114.97,5.25,<0.28,,
RFS190315-N-1,17,279.44,22.34,21.28,1630.95,191.93,2.23,,
RKO190315-N-1,18,128.86,12.74,9.72,544.05,51.89,1.44,,
RKV190315-N-1,19,103.67,10.74,6.54,507.88,28.98,<0.28,,
