,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,1/17/18,,
,,,,,,,
,,,Project:,MNMRC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS180109-N-1,1 TNC WEST,195.48,12.02,9.69,505.15,15.90,11.95
RPO180109-N-1,2 TNC WEST,143.16,14.22,10.12,622.10,63.70,6.95
RKS180109-N-1,3 TNC WEST,80.58,15.83,5.50,130.40,5.57,3.05,,
RAB180109-N-1,4 TNC WEST,106.62,19.49,7.26,338.52,24.67,3.44,,
RCB180109-N-1,5 TNC WEST,108.03,14.97,5.09,155.02,22.60,5.91,,
RWA180109-N-1,6 TNC WEST,106.78,19.37,11.94,801.43,26.90,3.85,,
PFF180110-N-1,7 TNC WEST,85.32,12.40,5.05,105.28,5.89,2.63,,
PLH180110-N-1,8 TNC WEST,89.75,13.30,6.33,198.90,7.07,2.24,,
PLT180110-N-1,9 TNC WEST,92.81,11.66,5.00,126.32,7.78,2.61,,
PPU180110-N-1,10 TNC WEST,85.30,11.14,3.66,112.45,1.24,2.39,,
OLP180110-N-1,11 TNC WEST,85.49,9.42,2.35,133.82,3.27,6.70,,
OSF180110-N-1,12 TNC WEST,100.45,12.77,5.68,175.58,4.46,5.00,,
OPM180111-N-1,13 TNC WEST,86.14,11.21,4.86,243.59,2.96,3.93,,
OCO180111-N-1,14 TNC WEST,79.40,8.80,3.45,161.39,7.13,4.40,,
OMM180111-N-1,15 TNC WEST,82.57,7.79,3.60,214.40,5.78,3.47,,
OUB180111-N-1,16 TNC WEST,91.54,15.47,4.82,126.15,4.47,2.83,,
OPB180111-N-1,17 TNC WEST,85.21,9.31,4.23,206.08,3.04,2.87,,
OPP180111-N-1,18 TNC WEST,76.74,10.60,4.10,114.41,3.69,3.25,,
RHL180112-N-1,19 TNC WEST,98.13,22.62,9.73,518.60,7.70,7.35
RFN180112-N-1,20 TNC WEST,99.22,15.95,6.08,239.35,12.30,3.05
RON180112-N-1,21 TNC WEST,86.94,13.80,4.35,111.47,4.05,2.57
RFS180112-N-1,22 TNC WEST,127.45,20.00,9.87,491.52,49.51,3.80
RKO180112-N-1,23 TNC WEST,131.93,18.69,12.93,479.12,68.19,2.82
RKV180112-N-1,24 TNC WEST,105.47,13.24,7.25,204.77,14.79,2.56
