,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,1/15/20,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS200107-N-1,1,99.26,12.41,7.31,424.05,23.88,1.43,,,
RPO200107-N-1,2,347.78,17.39,15.28,1736.61,274.45,3.48,,,
RKS200107-N-1,3,91.29,11.55,5.58,282.65,8.28,1.05,,,
RCB200107-N-1,4,136.64,20.54,7.25,462.89,52.43,3.85,,,
RWA200107-N-1,5,109.60,15.83,10.97,1262.14,34.93,<0.28,,,
PFF200108-N-1,6,92.23,25.49,23.09,4883.03,7.89,9.41,,,
PLH200108-N-1,7,74.94,12.15,7.91,562.90,9.33,<0.28,,,
PLT200108-N-1,8,93.25,13.37,9.22,647.78,21.10,2.01,,,
OSF200108-N-1,9,83.44,11.19,4.95,216.96,5.26,2.89,,,
OPM200109-N-1,10,91.36,11.46,5.20,203.67,4.41,0.37,,,
OCO200109-N-1,11,73.31,8.66,3.66,173.54,3.71,1.50,,,
OUB200109-N-1,12,76.68,11.18,4.69,163.35,3.85,<0.28,,,
OPB200109-N-1,13,84.68,11.25,6.17,224.47,9.42,0.57,,,
OPP200109-N-1,14,90.52,11.62,7.12,429.34,11.87,2.17,,,
RHL200110-N-1,15,125.23,11.07,6.46,612.61,20.48,1.90,,,
RON200110-N-1,16,78.65,10.79,4.60,99.38,4.12,1.21,,,
RFS200110-N-1,17,128.10,15.84,11.59,738.28,61.33,0.80,,,
RKO200110-N-1,18,119.74,14.43,10.44,459.41,40.25,0.71,,,
RKV200110-N-1,19,105.95,11.02,7.38,627.90,32.72,<0.28,,,
