Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	yes	no	no	16	Kamaole	NMS	SG	MB	SP	KKP	KKP180619		Kalama Park	2018-06-19	8:59	2	2	2	2	2	7	1	0	Trades	KKP180619	26.4	34.1	6.59	99.1	8.16	8.41	8.97	8.86	8.75	0.034		1	1		1	0	0	
yes	yes	yes	no	no	16	Kamaole	NMS	SG	MB	SP	KCP	KCP180619		Cove park	2018-06-19	9:18	2	2	2	2	2	7	1	0	Trades	KCP180619	26.6	31.5	6.74	100.3	8.14	2.23	2.72	3.15	2.70	0.170		1	1		7	0	0	
yes	yes	yes	no	no	17	Kamaole	NMS	SG	MB	DH	NKN	NKN180710		Kalepolepo North	2018-07-10	7:50	1	1	1	1	1	27	1	0	Trades	NKN180710	26.6	33.2	5.71	85.5	8.16	0.86	0.81	0.89	0.85	0.047		0	0		0	2	0	haze and vog
yes	yes	yes	no	no	17	Kamaole	NMS	SG	MB	DH	KWP	KWP180710		Waipuilani Park	2018-07-10	8:15	1	1	1	1	1	27	1	0	Trades	KWP180710	26.2	32.3	4.88	72.3	8.07	2.04	2.67	2.20	2.30	0.142		0	0		0	2	2	
yes	yes	yes	no	no	17	Kamaole	NMS	SG	MB	DH	KKS	KKS180710		Kihei South	2018-07-10	8:35	1	1	1	1	1	27	1	0	Trades	KKS180710	27.2	32.9	5.29	79.9	8.13	3.15	3.53	3.56	3.41	0.067		1	0		0	4	0	
yes	yes	yes	no	no	17	Kamaole	NMS	SG	MB	DH	KKP	KKP180710		Kalama Park	2018-07-10	9:00	1	1	1	1	1	27	1	0	Trades	KKP180710	26.9	34.0	6.58	99.7	8.17	5.71	5.34	5.58	5.54	0.034		1	0		8	8	0	KKP - 1 turtle on the beach
yes	yes	yes	no	no	17	Kamaole	NMS	SG	MB	DH	KCP	KCP180710		Cove park	2018-07-10	9:15	1	1	1	1	1	27	1	0	Trades	KCP180710	27.5	30.7	6.50	97.5	8.14	6.83	6.47	7.18	6.83	0.052		1	0		0	3	0	
yes	yes	yes	no	no	18	Kamaole	NMS	SG	MB	SP	NKN	NKN180731		Kalepolepo North	2018-07-31	8:10	2	2	2	2	2	18	3	0	Trades	NKN180731	27.1	33.8	6.23	94.6	8.17	0.70	0.67	0.63	0.67	0.053		1	2		6	6	0	
yes	yes	yes	no	no	18	Kamaole	NMS	SG	MB	SP	KWP	KWP180731		Waipuilani Park	2018-07-31	8:25	2	2	2	2	2	18	3	0	Trades	KWP180731	27.6	32.0	4.95	75.1	8.06	5.05	5.22	5.27	5.18	0.022		1	1		0	5	1	
yes	yes	yes	no	no	18	Kamaole	NMS	SG	MB	SP	KKS	KKS180731		Kihei South	2018-07-31	8:45	2	2	2	2	2	18	3	0	Trades	KKS180731	28.5	33.7	5.56	86.2	8.14	3.53	3.89	3.84	3.75	0.052		1	1		1	0	0	
yes	yes	yes	no	no	18	Kamaole	NMS	SG	MB	SP	KKP	KKP180731		Kalama Park	2018-07-31	9:06	2	2	2	2	2	18	3	0	Trades	KKP180731	28.3	34.4	6.29	97.8	8.14	6.38	7.59	6.78	6.92	0.089		1	1		5	6	0	
yes	yes	yes	no	no	18	Kamaole	NMS	SG	MB	SP	KCP	KCP180731		Cove park	2018-07-31	9:20	2	2	2	2	2	18	3	0	Trades	KCP180731	28.1	32.4	6.29	96.5	8.15	1.35	1.18	1.44	1.32	0.100		0	1		0	2	0	
yes	yes	yes	no	no	19	Kamaole	NMS	SP	MB	DH	NKN	NKN180821		Kalepolepo North	2018-08-21	7:55	1	1	1	1	1	11		0	Trades	NKN180821	26.9	31.6	5.92	88.5	8.13	1.73	1.93	1.56	1.74	0.106		1	4		2	2	0	
yes	yes	yes	no	no	19	Kamaole	NMS	SP	MB	DH	KWP	KWP180821		Waipuilani Park	2018-08-21	8:28	1	1	1	1	1	11		0	Trades	KWP180821	26.4	31.8	5.58	83.0	8.11	5.09	4.67	5.08	4.95	0.048		0	1		0	0	0	
yes	yes	yes	no	no	19	Kamaole	NMS	SP	MB	DH	KKS	KKS180821		Kihei South	2018-08-21	8:40	1	1	1	1	1	11		0	Trades	KKS180821	27.5	33.4	4.99	76.0	8.10	4.75	5.50	5.32	5.19	0.075		1	1		2	3	0	
yes	yes	yes	no	no	19	Kamaole	NMS	SP	MB	DH	KKP	KKP180821		Kalama Park	2018-08-21	9:00	1	1	1	1	1	11		0	Trades	KKP180821	27.3	34.0	6.51	99.2	8.16	7.01	7.30	6.73	7.01	0.041		1	2		1	3	0	
yes	yes	yes	no	no	19	Kamaole	NMS	SP	MB	DH	KCP	KCP180821		Cove park	2018-08-21	9:13	1	1	1	1	1	11		0	Trades	KCP180821	28.2	32.9	6.16	94.9	8.16	1.93	1.64	1.94	1.84	0.093		0	1		0	0	0	
yes	yes	yes	no	no	20	Kamaole	NMS	AQ	SP	MB	NKN	NKN180911		Kalepolepo North	2018-09-11	8:00	2	2	2	2	2	3	1	1	Trades	NKN180911	26.8	32.9	6.35	95.7	8.14	4.13	5.68	4.37	4.73	0.177		1	1		0	0	2	
yes	yes	yes	no	no	20	Kamaole	NMS	AQ	SP	MB	KWP	KWP180911		Waipuilani Park	2018-09-11	8:17	2	2	2	2	2	3	1	1	Trades	KWP180911	26.5	32.9	6.33	95.0	8.12	19.10	19.90	20.10	19.70	0.027		1	1		2	7	0	breezy at KWP
yes	yes	yes	no	no	20	Kamaole	NMS	AQ	SP	MB	KKS	KKS180911		Kihei South	2018-09-11	8:37	2	2	2	2	2	3	1	1	Trades	KKS180911	27.2	33.3	6.04	92.1	8.14	4.88	5.43	5.65	5.32	0.075		1	1		2	4	0	gusty at KKS
yes	yes	yes	no	no	20	Kamaole	NMS	AQ	SP	MB	KKP	KKP180911		Kalama Park	2018-09-11	8:52	2	2	2	2	2	3	1	1	Trades	KKP180911	27.0	33.8	6.36	96.9	8.15	5.71	5.05	5.84	5.53	0.077		1	2		0	2	0	stream was dredged, anticipating tropical storm
yes	yes	yes	no	no	20	Kamaole	NMS	AQ	SP	MB	KCP	KCP180911		Cove park	2018-09-11	9:11	2	2	2	2	2	3	1	1	Trades	KCP180911	27.2	31.6	6.52	98.4	8.14	3.36	3.80	4.87	4.01	0.194		1	1		11	0	0	
yes	yes	yes	no	no	21	Kamaole	NMS	SG	MB	DH	NKN	NKN181002		Kalepolepo North	2018-10-02	8:00	1	1	1	1	1					NKN181002	27.8	34.5	5.80	85.3	8.10	2.09	2.03	2.57	2.23	0.133					0	0	0	
yes	yes	yes	no	no	21	Kamaole	NMS	SG	MB	DH	KWP	KWP181002		Waipuilani Park	2018-10-02	8:15	1	1	1	1	1					KWP181002	26.0	33.2	6.16	91.4	8.02	21.20	22.30	23.00	22.17	0.041					0	3	0	
yes	yes	yes	no	no	21	Kamaole	NMS	SG	MB	DH	KKS	KKS181002		Kihei South	2018-10-02	8:35	1	1	1	1	1					KKS181002	27.4	33.7	5.92	90.2	8.11	8.79	9.39	10.10	9.43	0.070					0	3	0	
yes	yes	yes	no	no	21	Kamaole	NMS	SG	MB	DH	KKP	KKP181002		Kalama Park	2018-10-02	8:55	1	1	1	1	1					KKP181002	27.3	34.1	6.61	100.6	8.14	9.91	10.40	10.00	10.10	0.026					2	2	0	2 dogs
yes	yes	yes	no	no	21	Kamaole	NMS	SG	MB	DH	KCP	KCP181002		Cove park	2018-10-02	9:10	1	1	1	1	1					KCP181002	27.7	33.6	6.47	99.0	8.14	3.45	2.79	2.82	3.02	0.123					3	1	0	
yes	yes	yes	no	no	22	Kamaole	NMS	SG	HH	DH	NKN	NKN181023		Kalepolepo North	2018-10-23	8:08	2	2	2	2	2					NKN181023	26.8	33.6	6.21	98.7	8.13	3.36	4.27	4.36	4.00	0.138				N	1	18	0	
yes	yes	yes	no	no	22	Kamaole	NMS	SG	HH	DH	KWP	KWP181023		Waipuilani Park	2018-10-23	8:17	2	2	2	2	2					KWP181023	26.0	34.4	6.51	97.7	8.09	17.10	17.60	18.60	17.77	0.043					0	7	2	
yes	yes	yes	no	no	22	Kamaole	NMS	SG	HH	DH	KKS	KKS181023		Kihei South	2018-10-23	8:38	2	2	2	2	2					KKS181023	26.6	34.1	6.58	99.3	8.09	9.64	10.90	11.70	10.75	0.097					3	10	0	
yes	yes	yes	no	no	22	Kamaole	NMS	SG	HH	DH	KKP	KKP181023		Kalama Park	2018-10-23	8:51	2	2	2	2	2					KKP181023	27.3	35.1	6.75	103.7	8.15	5.73	7.29	9.26	7.43	0.238				N	10	2	0	
yes	yes	yes	no	no	22	Kamaole	NMS	SG	HH	DH	KCP	KCP181023		Cove park	2018-10-23	9:08	2	2	2	2	2					KCP181023	27.4	34.3	6.80	104.0	8.14	6.97	7.45	7.80	7.41	0.056				N	50	0	0	
yes	yes	yes	no	no	23	Kamaole	NMS	SG	HH	MB	NKN	NKN181113		Kalepolepo North	2018-11-13	8:45	1	1	1	1	1					NKN181113	26.7	34.3	5.66	85.7	8.09	1.23	1.54	1.20	1.32	0.142				N	4	1	0	
yes	yes	yes	no	no	23	Kamaole	NMS	SG	HH	MB	KWP	KWP181113		Waipuilani Park	2018-11-13	9:05	1	1	1	1	1					KWP181113	24.0	32.4	6.23	90.5	8.08	14.20	13.10	13.20	13.50	0.045				NA	0	0	0	
yes	yes	yes	no	no	23	Kamaole	NMS	SG	HH	MB	KKS	KKS181113		Kihei South	2018-11-13	9:26	1	1	1	1	1					KKS181113	24.4	33.5	6.60	95.7	8.21	3.84	3.66	3.50	3.67	0.046				NA	7	2	0	1 dog
yes	yes	yes	no	no	23	Kamaole	NMS	SG	HH	MB	KKP	KKP181113		Kalama Park	2018-11-13	9:42	1	1	1	1	1					KKP181113	25.3	34.1	6.30	93.1	8.17	4.97	4.91	5.14	5.01	0.024				N	2	2	0	1 dog
yes	yes	yes	no	no	23	Kamaole	NMS	SG	HH	MB	KCP	KCP181113		Cove park	2018-11-13	10:00	1	1	1	1	1					KCP181113	26.8	34.4	6.07	92.1	8.14	1.07	1.21	0.99	1.09	0.102				N	0	0	0	
yes	yes	yes	no	no	24	Kamaole	NMS	SG	HH	DH	NKN	NKN181204		Kalepolepo North	2018-12-04	8:02	2	2	2	2	2					NKN181204	25.1	32.7	6.06	88.5	8.15	0.82	1.00	1.30	1.04	0.233				N	1	0	0	Raul Ruiz (NMS)  tagged along as observer
yes	yes	yes	no	no	24	Kamaole	NMS	SG	HH	DH	KWP	KWP181204		Waipuilani Park	2018-12-04	8:36	2	2	2	2	2					KWP181204	24.4	32.5	5.94	85.6	8.12	6.36	6.58	7.29	6.74	0.072				NA	0	2	1	Multimeter was shutting off at 30% power @ KWP site, changed batteries and had no prob
yes	yes	yes	no	no	24	Kamaole	NMS	SG	HH	DH	KKS	KKS181204		Kihei South	2018-12-04	8:54	2	2	2	2	2					KKS181204	25.3	34.5	5.77	85.3	8.16	4.53	3.55	3.59	3.89	0.143				NA	0	1	0	
yes	yes	yes	no	no	24	Kamaole	NMS	SG	HH	DH	KKP	KKP181204		Kalama Park	2018-12-04	9:15	2	2	2	2	2					KKP181204	24.9	34.5	6.77	99.5	8.16	6.57	7.27	5.98	6.61	0.098				N	3	3	0	
yes	yes	yes	no	no	24	Kamaole	NMS	SG	HH	DH	KCP	KCP181204		Cove park	2018-12-04	9:30	2	2	2	2	2					KCP181204	26.1	33.7	5.84	87.2	8.13	1.73	1.45	1.73	1.64	0.099				N	12	6	0	
yes	yes	yes	no	no	25	Kamaole	NMS	SG	DH	GB	NKN	NKN181218		Kalepolepo North	2018-12-18	8:00	1	1	1	1	1					NKN181218	24.8	33.8	5.74	83.2	8.11	2.13	1.93	1.81	1.96	0.083				N	0	2	0	
yes	yes	yes	no	no	25	Kamaole	NMS	SG	DH	GB	KWP	KWP181218		Waipuilani Park	2018-12-18	8:14	1	1	1	1	1					KWP181218	22.7	31.8	6.45	89.1	8.13	11.00	11.60	11.70	11.43	0.033				NA	0	3	0	
yes	yes	yes	no	no	25	Kamaole	NMS	SG	DH	GB	KKS	KKS181218		Kihei South	2018-12-18	8:30	1	1	1	1	1					KKS181218	23.6	33.4	6.05	85.9	8.15	5.36	6.22	5.86	5.81	0.074				NA	0	2	0	
yes	yes	yes	no	no	25	Kamaole	NMS	SG	DH	GB	KKP	KKP181218		Kalama Park	2018-12-18	8:46	1	1	1	1	1					KKP181218	23.5	34.0	6.87	97.6	8.15	3.89	4.24	3.79	3.97	0.059				N	0	2	0	
yes	yes	yes	no	no	25	Kamaole	NMS	SG	DH	GB	KCP	KCP181218		Cove park	2018-12-18	9:02	1	1	1	1	1					KCP181218	24.9	32.5	6.25	90.2	8.11	2.15	2.29	2.14	2.19	0.038				N	2	0	0	
yes	yes	yes	no	no	26	Kamaole	NMS	MB	DH		NKN	NKN190115		Kalepolepo North	2019-01-15	8:04	1	3	5	1	3					NKN190115	23.8	33.4	6.72	96.0	8.20	4.56	4.97	4.97	4.83	0.049				N	0	1	0	West Maui equip used
yes	yes	yes	no	no	26	Kamaole	NMS	MB	DH		KWP	KWP190115		Waipuilani Park	2019-01-15	8:40	1	3	5	1	3					KWP190115	23.4	34.1	6.29	89.6	8.10	10.80	11.80	12.10	11.57	0.059				NA	0	3	0	West Maui equip used
yes	yes	yes	no	no	26	Kamaole	NMS	MB	DH		KKS	KKS190115		Kihei South	2019-01-15	9:05	1	3	5	1	3					KKS190115	24.2	34.1	6.52	94.1	8.17	9.54	8.63	8.66	8.94	0.058				NA	0	2	0	West Maui equip used
yes	yes	yes	no	no	26	Kamaole	NMS	MB	DH		KKP	KKP190115		Kalama Park	2019-01-15	9:30	1	3	5	1	3					KKP190115	24.4	34.4	6.65	96.5	8.16	8.76	8.69	9.11	8.85	0.025				N	7	5	0	West Maui equip used
yes	yes	yes	no	no	26	Kamaole	NMS	MB	DH		KCP	KCP190115		Cove park	2019-01-15	10:00	1	3	5	1	3					KCP190115	24.6	32.6	6.90	99.7	8.17	3.30	4.14	4.17	3.87	0.128				NA	4	2	0	West Maui equip used
yes	yes	yes	no	no	27	Kamaole	NMS	MB	DH	SG	NKN	NKN190205		Kalepolepo North	2019-02-05	8:00	1	1	1	1	1					NKN190205	23.4	35.7	6.33	91.1	8.13	1.35	2.34	1.65	1.78	0.285				N	0	0	0	
yes	yes	yes	no	no	27	Kamaole	NMS	MB	DH	SG	KWP	KWP190205		Waipuilani Park	2019-02-05	8:15	1	1	1	1	1					KWP190205	21.4	33.7	6.84	94.1	8.11	19.20	20.50	19.70	19.80	0.033				NA	0	0	0	
yes	yes	yes	no	no	27	Kamaole	NMS	MB	DH	SG	KKS	KKS190205		Kihei South	2019-02-05	8:33	1	1	1	1	1					KKS190205	23.1	34.7	6.24	89.0	8.15	6.10	6.85	7.69	6.88	0.116				NA	0	0	0	
yes	yes	yes	no	no	27	Kamaole	NMS	MB	DH	SG	KKP	KKP190205		Kalama Park	2019-02-05	8:52	1	1	1	1	1					KKP190205	22.5	35.3	6.85	96.9	8.18	5.57	5.02	5.73	5.44	0.068				N	0	2	0	took 4th reading at KKP
yes	yes	yes	no	no	27	Kamaole	NMS	MB	DH	SG	KCP	KCP190205		Cove park	2019-02-05	9:07	1	1	1	1	1					KCP190205	23.1	35.1	6.71	96.2	8.14	4.48	4.54	4.81	4.61	0.038				NA	2	0	0	
yes	yes	yes	no	no	28	Kamaole	NMS	MB	DH		NKN	NKN190226		Kalepolepo North	2019-02-26	8:00	2	2	2	2	2					NKN190226	24.1	33.5	6.08	87.5	8.11	0.52	0.68	0.74	0.65	0.176				N	0	4	0	
yes	yes	yes	no	no	28	Kamaole	NMS	MB	DH		KWP	KWP190226		Waipuilani Park	2019-02-26	8:30	2	2	2	2	2					KWP190226	23.4	31.9	6.11	86.0	8.10	6.16	7.09	6.88	6.71	0.073				NA	0	2	0	
yes	yes	yes	no	no	28	Kamaole	NMS	MB	DH		KKS	KKS190226		Kihei South	2019-02-26	8:55	2	2	2	2	2					KKS190226	24.1	33.0	6.35	91.1	8.19	4.44	4.77	4.71	4.64	0.038				NA	0	8	0	
yes	yes	yes	no	no	28	Kamaole	NMS	MB	DH		KKP	KKP190226		Kalama Park	2019-02-26	9:15	2	2	2	2	2					KKP190226	23.6	34.5	6.72	96.4	8.18	7.81	8.34	8.79	8.31	0.059				N	2	3	0	2 in the water were dogs
yes	yes	yes	no	no	28	Kamaole	NMS	MB	DH		KCP	KCP190226		Cove park	2019-02-26	9:40	2	2	2	2	2					KCP190226	24.6	31.1	6.64	95.0	8.13	1.15	1.20	1.38	1.24	0.097				N	2	0	0	
yes	yes	yes	no	no	29	Kamaole	NMS	MB	HH	SG	NKN	NKN190319		Kalepolepo North	2019-03-19	8:05	1	1	1	1	1					NKN190319	22.9	32.9	6.58	92.2	8.11	1.29	1.66	1.87	1.61	0.183				N	0	4	0	
yes	yes	yes	no	no	29	Kamaole	NMS	MB	HH	SG	KWP	KWP190319		Waipuilani Park	2019-03-19	8:30	1	1	1	1	1					KWP190319	22.8	33.7	6.53	91.7	8.07	6.19	7.43	7.57	7.06	0.108				NA	8	4	0	
yes	yes	yes	no	no	29	Kamaole	NMS	MB	HH	SG	KKS	KKS190319		Kihei South	2019-03-19	8:50	1	1	1	1	1					KKS190319	23.1	32.6	6.62	93.0	8.13	7.99	6.13	8.73	7.62	0.176				NA	0	9	0	
yes	yes	yes	no	no	29	Kamaole	NMS	MB	HH	SG	KKP	KKP190319		Kalama Park	2019-03-19	9:13	1	1	1	1	1					KKP190319	23.3	34.4	7.35	104.5	8.17	3.20	3.85	4.43	3.83	0.161				N	0	7	0	
yes	yes	yes	no	no	29	Kamaole	NMS	MB	HH	SG	KCP	KCP190319		Cove park	2019-03-19	9:31	1	1	1	1	1					KCP190319	23.6	32.5	7.25	102.6	8.13	3.52	5.28	5.14	4.65	0.211				N	50	6	0	50 swimmers were surfers
yes	yes	yes	no	no	30	Kamaole	NMS	JS	HH	SG	NKN	NKN190409		Kalepolepo North	2019-04-09	7:56	2	2	2	2	2					NKN190409	24.7	33.9	6.72	97.6	8.13	1.43	1.46	1.60	1.50	0.061				N	0	0	0	
yes	yes	yes	no	no	30	Kamaole	NMS	JS	HH	SG	KWP	KWP190409		Waipuilani Park	2019-04-09	8:24	2	2	2	2	2					KWP190409	24.2	32.3	6.45	92.2	8.05	12.00	12.30	12.90	12.40	0.037				NA	0	4	0	
yes	yes	yes	no	no	30	Kamaole	NMS	JS	HH	SG	KKS	KKS190409		Kihei South	2019-04-09	8:40	2	2	2	2	2					KKS190409	26.3	32.3	6.23	90.8	8.10	6.76	6.41	6.68	6.62	0.028				NA	0	0	0	
yes	yes	yes	no	no	30	Kamaole	NMS	JS	HH	SG	KKP	KKP190409		Kalama Park	2019-04-09	9:01	2	2	2	2	2					KKP190409	25.3	34.8	6.74	99.5	8.15	7.49	6.97	7.38	7.28	0.038				N	0	3	0	
yes	yes	yes	no	no	30	Kamaole	NMS	JS	HH	SG	KCP	KCP190409		Cove park	2019-04-09	9:20	2	2	2	2	2					KCP190409	25.7	31.3	7.09	103.2	8.14	2.86	3.04	3.15	3.02	0.049				N	2	0	0	
yes	yes	yes	no	no	31	Kamaole	NMS	MB		SG	NKN	NKN190430		Kalepolepo North	2019-04-30	8:00	1	1	1	1	1					NKN190430	24.9	30.1	6.70	95.6	8.11	4.89	6.80	6.20	5.96	0.164				N	0	2	0	
yes	yes	yes	no	no	31	Kamaole	NMS	MB		SG	KWP	KWP190430		Waipuilani Park	2019-04-30	8:24	1	1	1	1	1					KWP190430	24.2	30.3	6.16	87.0	8.04	10.30	10.00	10.00	10.10	0.017				NA	0	1	0	took 4th reading of NTU
yes	yes	yes	no	no	31	Kamaole	NMS	MB		SG	KKS	KKS190430		Kihei South	2019-04-30	8:47	1	1	1	1	1					KKS190430	25.5	32.9	6.20	90.9	8.10	3.93	4.45	4.25	4.21	0.062				NA	0	3	0	
yes	yes	yes	no	no	31	Kamaole	NMS	MB		SG	KKP	KKP190430		Kalama Park	2019-04-30	9:10	1	1	1	1	1					KKP190430	25.8	34.2	6.87	102.0	8.13	10.80	11.60	12.40	11.60	0.069				N	4	5	0	4 in the water were surfers
yes	yes	yes	no	no	31	Kamaole	NMS	MB		SG	KCP	KCP190430		Cove park	2019-04-30	9:35	1	1	1	1	1					KCP190430	26.0	31.5	7.12	104.6	8.12	10.40	9.32	7.77	9.16	0.144				N	0	1	0	took 4th reading of NTU
yes	yes	yes	no	no	32	Kamaole	NMS	SG	DH		NKN	NKN190521		Kalepolepo North	2019-05-21	8:05	2	1	1	1	1					NKN190521	26.7	32.6	5.71	85.4	8.05	2.43	3.46	3.87	3.25	0.228				N	0	3	0	
yes	yes	yes	no	no	32	Kamaole	NMS	SG	DH		KWP	KWP190521		Waipuilani Park	2019-05-21	8:40	2	1	1	1	1					KWP190521	26.8	33.1	6.05	91.1	8.01	11.00	11.50	11.40	11.30	0.023				NA	0	2	0	
yes	yes	yes	no	no	32	Kamaole	NMS	SG	DH		KKS	KKS190521		Kihei South	2019-05-21	8:55	2	1	1	1	1					KKS190521	27.5	31.3	6.20	93.4	8.07	4.90	5.88	5.99	5.59	0.107				NA	4	0	0	
yes	yes	yes	no	no	32	Kamaole	NMS	SG	DH		KKP	KKP190521		Kalama Park	2019-05-21	9:15	2	1	1	1	1					KKP190521	27.5	34.2	7.01	107.2	8.17	5.58	6.03	6.22	5.94	0.055				N	4	1	0	
yes	yes	yes	no	no	32	Kamaole	NMS	SG	DHJ		KCP	KCP190521		Cove park	2019-05-21	9:35	2	1	1	1	1					KCP190521	28.0	31.0	6.94	105.3	8.13	3.86	5.21	5.92	5.00	0.209				N	5	1	0	took 4th reading of NTU
yes	yes	yes	no	no	33	Kamaole	NMS	MB	TS	JK	NKN	NKN190611		Kalepolepo North	2019-06-11	7:55	1	1	1	1	1					NKN190611	26.5	32.8	5.76	85.8	8.09	2.35	3.25	2.61	2.74	0.169				N	0	3	0	
yes	yes	yes	no	no	33	Kamaole	NMS	MB	TS	JK	KWP	KWP190611		Waipuilani Park	2019-06-11	8:22	1	1	1	1	1					KWP190611	25.6	30.3	5.26	76.3	8.00	4.41	4.84	5.40	4.88	0.102				NA	0	3	0	
yes	yes	yes	no	no	33	Kamaole	NMS	MB	TS	JK	KKS	KKS190611		Kihei South	2019-06-11	8:40	1	1	1	1	1					KKS190611	26.7	31.9	6.28	93.6	8.10	3.74	4.37	3.56	3.89	0.109				NA	4	2	0	
yes	yes	yes	no	no	33	Kamaole	NMS	MB	TS	JK	KKP	KKP190611		Kalama Park	2019-06-11	9:00	1	1	1	1	1					KKP190611	27.4	33.8	6.56	100.0	8.13	9.96	11.70	11.30	10.99	0.083				N	3	1	0	
yes	yes	yes	no	no	33	Kamaole	NMS	MB	TS	JK	KCP	KCP190611		Cove park	2019-06-11	9:19	1	1	1	1	1					KCP19061	27.7	31.1	6.70	101.1	8.12	3.92	3.92	3.05	3.63	0.138				N	20	0	0	Took 4th reading, 20 in water were surfers
yes	yes	yes	no	no	34	Kamaole	NMS	SG	TS	JK	NKN	NKN190702		Kalepolepo North	2019-07-02	8:02	1	2	2	2	2					NKN190702	27.3	32.4	6.18	93.5		7.36	8.38	9.71	8.48	0.139				N	0	0	0	Took 4th reading, 
yes	yes	yes	no	no	34	Kamaole	NMS	SG	TS	JK	KWP	KWP190702		Waipuilani Park	2019-07-02	8:20	1	2	2	2	2					KWP190702	27.4	34.0	5.87	89.7		9.03	10.20	10.50	9.91	0.078				NA	0	1	0	
yes	yes	yes	no	no	34	Kamaole	NMS	SG	TS	JK	KKS	KKS190702		Kihei South	2019-07-02	8:36	1	2	2	2	2					KKS190702	27.8	33.1	6.21	95.0		6.84	7.63	8.44	7.64	0.105				NA	2	1	0	plus 1 dog on beach
yes	yes	yes	no	no	34	Kamaole	NMS	SG	TS	JK	KKP	KKP190702		Kalama Park	2019-07-02	8:55	1	2	2	2	2					KKP190702	28.0	35.0	6.69	103.9		11.40	10.70	11.00	11.03	0.032				N	2	4	0	
yes	yes	yes	no	no	34	Kamaole	NMS	SG	TS	JK	KCP	KCP190702		Cove park	2019-07-02	9:10	1	2	2	2	2					KCP190702	28.2	33.4	7.00	108.1		5.37	5.61	5.69	5.56	0.030				N	0	0	0	Took 4th reading, 
yes	yes	yes	no	no	35	Kamaole	NMS	MB	DH		NKN	NKN190723		Kalepolepo North	2019-07-23	8:00	2	2	2	2	2					NKN190723	27.5	33.7	5.50	83.9	8.07	1.76	2.03	1.78	1.86	0.081				N	0	0	0	
yes	yes	yes	no	no	35	Kamaole	NMS	MB	DH		KWP	KWP190723		Waipuilani Park	2019-07-23	8:20	2	2	2	2	2					KWP190723	26.9	32.9	6.16	93.0	8.05	10.30	10.80	11.50	10.87	0.055				NA	0	1	0	
yes	yes	yes	no	no	35	Kamaole	NMS	MB	DH		KKS	KKS190723		Kihei South	2019-07-23	8:42	2	2	2	2	2					KKS190723	27.9	33.5	5.74	88.4	8.09	5.96	7.60	6.53	6.70	0.124				NA	6	4	0	
yes	yes	yes	no	no	35	Kamaole	NMS	MB	DH		KKP	KKP190723		Kalama Park	2019-07-23	9:03	2	2	2	2	2					KKP190723	28.3	34.6	6.65	103.5	8.17	9.12	9.73	10.20	9.68	0.056				N	2	3	0	
yes	yes	yes	no	no	35	Kamaole	NMS	MB	DH		KCP	KCP190723		Cove park	2019-07-23	9:25	2	2	2	2	2					KCP190723	28.5	32.8	6.53	101.0	8.12	2.69	3.44	3.23	3.12	0.124				N	0	0	0	
yes	yes	yes	no	no	36	Kamaole	NMS	MB	SG		NKN	NKN190813		Kalepolepo North	2019-08-13	8:00	2	2	2	2	2					NKN190813	27.4	31.9	6.37	96.2	8.09	6.09	6.44	6.94	6.49	0.066				N	0	2	0	took 4th reading 6.44
yes	yes	yes	no	no	36	Kamaole	NMS	MB	DH		KWP	KWP190813		Waipuilani Park	2019-08-13	8:30	2	2	2	2	2					KWP190813	27.3	34.1	5.95	91.0	8.03	8.53	10.10	10.30	9.64	0.101				NA	0	2	0	
yes	yes	yes	no	no	36	Kamaole	NMS	MB	DH		KKS	KKS190813		Kihei South	2019-08-13	8:50	2	2	2	2	2					KKS190813	28.0	34.0	6.44	99.3	8.05	8.17	12.90	12.40	11.16	0.233				NA	6	5	0	took 4th reading 15.8
yes	yes	yes	no	no	36	Kamaole	NMS	MB	DH		KKP	KKP190813		Kalama Park	2019-08-13	9:10	2	2	2	2	2					KKP190813	28.4	35.1	6.68	104.5	8.13	7.13	8.79	6.57	7.50	0.154				N	0	0	0	
yes	yes	yes	no	no	36	Kamaole	NMS	MB	DH		KCP	KCP190813		Cove park	2019-08-13	9:30	2	2	2	2	2					KCP190813	28.3	34.2	6.68	102.7	8.12	6.59	5.35	6.27	6.07	0.106				N	4	4	0	
yes	yes	yes	no	no	36	Kamaole	NMS	MB	DH		NMP	NMP190813		Mai Poina Oe Iau	2019-08-13	9:55	2	2	2	2	2					   NMP190813	29.0	33.6	6.54	102.7	8.08	2.94	3.39	2.68	3.00	0.120				NA	0	0	0	
yes	yes	yes	no	no	37	Kamaole	NMS	HH	SG	MC	NKN	NKN190903		Kalepolepo North	2019-09-03	8:07	1	1	3	1	1					NKN190903	28.3			83.6	8.12	1.29	1.47	1.36	1.37	0.066				N	0	1	0	
yes	yes	yes	no	no	37	Kamaole	NMS	HH	SG	MC	KWP	KWP190903		Waipuilani Park	2019-09-03	8:28	1	1	3	1	1					KWP190903	26.3	32.4	5.65	84.3	8.05	12.60	13.80	13.50	13.30	0.047				NA	0	0	0	
