,,Data Provided by:,,,,,,,
,,SOEST Laboratory for ,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,
,,University of Hawaii at Manoa ,,,,,,,
,,1000 Pope Rd,,,,,,,
,,"Honolulu, HI 96822",,,,,,,
,,808-956-5878,,,,,,,
,,,,,,,,,
,,Date Samples Received:,,12/6/23,LN8,,,,
,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
LMN231204-N-1,L1,113.14,8.53,7.23,183.02,22.57,9.55,,
LHB231204-N-1,L2,86.74,7.45,5.00,111.57,4.99,1.01,,
