,,Data Provided by:,,,,,,,
,,SOEST Laboratory for ,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,
,,University of Hawaii at Manoa ,,,,,,,
,,1000 Pope Rd,,,,,,,
,,"Honolulu, HI 96822",,,,,,,
,,808-956-5878,,,,,,,
,,,,,,,,,
,,Date Samples Received:,,11/15/23,LN7,,,,
,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
LMN231113-N-1,L1,106.56,6.95,3.32,144.72,7.69,3.52,,
LHB231113-N-1,L2,82.31,7.48,3.12,190.13,3.66,0.40,,
