,,Data Provided by:,,,,,,,
,,SOEST Laboratory for ,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,
,,University of Hawaii at Manoa ,,,,,,,
,,1000 Pope Rd,,,,,,,
,,"Honolulu, HI 96822",,,,,,,
,,808-956-5878,,,,,,,
,,,,,,,,,
,,Date Samples Received:,,8/2/23,LN3,,,,
,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
LMN230728-N-1,L1,117.31,8.75,5.58,211.68,5.48,8.41,,
LHB230728-N-1,L2,97.72,6.02,2.04,171.86,4.75,1.92,,
