Copied to main database by Kim 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
		Example:		26	R2RS	LLHS	CM	TF	MS	RCB	RCB170821	2020	Canoe Beach	2017-08-21	9:22:00	1	1	4	2	3	1	7	2		RCB170821	27.0	33.1	6.92	104.4	8.18	5.78	5.86	6.03	Calculated	Calculated		1	0		1	20		
yes	yes	no	yes	28	R2RN	LLHS	BB	AS	LH	RHL	RHL171006	2001	Honolua Bay	2017-10-06	7:56	1	1	4	2	3	17	1	1	Trades	RHL171006	25.3	33.7	6.32	93.2	8.10	37.20	37.90	40.50	38.53	0.045		0	1	0	0	6	0	RHL no waves at collection site but waves breaking starting halfway to Lipoa Point, light rain the night before
yes	yes	no	no	28	R2RN	LLHS	BB	AS	LH	RFN	RFN171006	2003	Fleming North	2017-10-06	8:40	1	1	4	2	3	17	1	1	Trades	RFN171006	26.4	34.1	6.64	99.9	8.16	2.65	1.82	2.26	2.24	0.185		3	1	0	6	5	0	light rain the night before
yes	yes	no	no	28	R2RN	LLHS	BB	AS	LH	RON	RON171006	2004	Oneloa Bay	2017-10-06	9:15	1	1	4	2	3	17	1	1	Trades	RON171006	27.0	34.6	6.60	100.9	8.19	0.65	0.65	0.61	0.64	0.036		3	4	0	1	9	0	light rain the night before
yes	yes	no	no	28	R2RN	LLHS	BB	AS	LH	RFS	RFS171006	2005	Kapalua Bay	2017-10-06	9:35	1	1	4	2	3	17	1	1	Trades	RFS171006	26.9	33.4	6.81	103.0	8.16	3.36	2.70	3.04	3.03	0.109		0	2	0	18	35	0	light rain the night before
yes	yes	no	no	28	R2RN	LLHS	BB	AS	LH	RKO	RKO171006	2008	Ka'opala Bay	2017-10-06	9:55	1	1	4	2	3	17	1	1	Trades	RKO171006	26.4	33.7	6.62	99.5	8.11	14.00	13.60	12.80	13.47	0.045		0	1	0	0	2	0	light rain the night before
yes	yes	yes	no	28	R2RN	LLHS	BB	AS	LH	RKV	RKV171006	2074	Kahana Village	2017-10-06	10:15	1	1	4	2	3	17	1	1	Trades	RKV171006	27.9	34.7	7.24	112.1	8.33	3.94	4.63	4.45	4.34	0.082		1	2	0	4	8	0	RKV duplicate nutrient sample. 2 syringes from same bucket. N-1 with 0.7 um filter, N-2 with 0.2 um filter, light rain the night before
yes	yes	yes	yes	29	R2RN	LLHS	BB	AS	LH	RHL	RHL171027	2001	Honolua Bay	2017-10-27	8:05	2	3	3	1	2	8	1	1	Trades	RHL171027	25.4	33.0	6.58	96.9	8.11	156.00	164.00	158.00	159.33	0.026		1	1	1	0	0	0	huge rain storm Mon night (10/23) with thunder, lightening, winds - power outages all over Maui, some stream flow, lots of debris in water, some of it looks like pieces of bark, stems, duplicate nutrient sample. 2 syringes from same bucket. N-1 with 0.2  um filter, N-2 with 0.7 um filter
yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RFN	RFN171027	2003	Fleming North	2017-10-27	8:45	2	3	3	1	2	8	1	1	Trades	RFN171027	26.4	34.8	6.83	103.3	8.17	3.72	3.28	3.43	3.48	0.064		3	1	0	11	40	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, no stream flow while taking sample but was water in both stream beds and ocean waves mixed a little with stream water at mouth of stream
